H,K,L,Distance,2theta/TOF,Mult
1,1,-1,5.4328,16.315733041611168,24
-1,2,0,4.2082,21.11179703772628,24
0,2,2,3.3269,26.797093015972447,12
0,0,-3,3.1366,28.45611113247047,6
-1,-1,3,2.8372,31.533117878554634,24
3,-2,0,2.6098,34.362363621738425,24
-3,-2,-2,2.2822,39.48540751716934,24
1,-3,3,2.1588,41.8451185678198,48
-1,4,2,2.0534,44.1025087116131,48
3,0,4,1.882,48.36294391557494,24
3,3,-3,1.8109,50.391347898547075,24
-2,0,-5,1.7473,52.36176331034003,24
1,-4,4,1.638,56.15262277289116,48
1,5,3,1.5905,57.986021215169266,48
0,-6,1,1.5469,59.7837062541025,24
2,1,6,1.4695,63.28449811010353,48
-5,3,-3,1.435,64.99006444271086,48
-3,6,0,1.4027,66.67876792895798,24
-6,-3,-2,1.3442,69.99152418708991,48
7,1,1,1.3176,71.6192775300689,24
-6,-4,-1,1.2925,73.23306204886464,48
