H,K,L,Distance,2theta/TOF,Mult
0,0,-2,7.0902,12.484263158101953,2
0,0,-3,4.7268,18.773236730490876,2
0,0,4,3.5451,25.119865055448265,2
0,0,-5,2.8361,31.545666751681242,2
-1,0,0,2.4902,36.0680303066775,6
0,0,-6,2.3634,38.07550373789506,2
0,-1,-2,2.3495,38.30951996882495,12
-1,0,3,2.2031,40.96546860862866,12
0,-1,4,2.0377,44.460369883555,12
0,0,-7,2.0257,44.7379487684998,2
-1,0,-5,1.8712,48.660099676664274,12
0,0,8,1.7725,51.56215156659392,2
0,-1,6,1.7142,53.45218836819005,12
0,0,9,1.5756,58.58740804180235,2
0,-1,7,1.5714,58.759311140702664,12
